county,state,pop_2010,pop_2018,pct_chg
Denali Borough,Alaska,1835,2059,12.21
Craighead,Arkansas,96744,108558,12.21
King George,Virginia,23696,26575,12.15
Cache,Utah,113386,127068,12.07
Pierce,Washington,795393,891299,12.06
Lexington,South Carolina,263334,295032,12.04
Richmond city,Virginia,204256,228783,12.01
Howard,Maryland,288628,323196,11.98
Whatcom,Washington,201547,225685,11.98
Berkeley,West Virginia,104606,117123,11.97
Llano,Texas,19334,21646,11.96
Erath,Texas,37917,42446,11.94
Atascosa,Texas,44953,50310,11.92
Richland,Montana,9759,10913,11.82
Gilpin,Colorado,5475,6121,11.8
Christian,Missouri,77844,86983,11.74
Pottawatomie,Kansas,21728,24277,11.73
Hunt,Texas,86384,96493,11.7
Jefferson,Oregon,21660,24192,11.69
Iredell,North Carolina,159768,178435,11.68
Bonneville,Idaho,104672,116854,11.64
Radford city,Virginia,16430,18339,11.62
Salt Lake,Utah,1032979,1152633,11.58
Reagan,Texas,3353,3741,11.57
Saguache,Colorado,6136,6843,11.52
Tippecanoe,Indiana,173102,193048,11.52
Clayton,Georgia,259831,289615,11.46
Lamar,Mississippi,56042,62447,11.43
Rains,Texas,10913,12159,11.42
Nantucket,Massachusetts,10167,11327,11.41
Moore,North Carolina,88587,98682,11.4
Douglas,Washington,38515,42907,11.4
Walton,Georgia,83940,93503,11.39
Johnson,Indiana,140272,156225,11.37
San Miguel,Colorado,7357,8191,11.34
Blanco,Texas,10510,11702,11.34
Broward,Florida,1752834,1951260,11.32
Riverside,California,2201652,2450758,11.31
Kusilvak Census Area,Alaska,7465,8303,11.23
Suffolk,Massachusetts,725819,807252,11.22
Burnet,Texas,42755,47542,11.2
Dallas,Texas,2372327,2637772,11.19
Whitman,Washington,44794,49791,11.16
Hidalgo,Texas,779213,865939,11.13
Wahkiakum,Washington,3983,4426,11.12
Franklin,North Carolina,60818,67560,11.09
Aleutians East Borough,Alaska,3166,3515,11.02
Twin Falls,Idaho,77535,86081,11.02
Meade,South Dakota,25488,28294,11.01
Bandera,Texas,20562,22824,11
Dewey,South Dakota,5324,5904,10.89
Kendall,Illinois,115377,127915,10.87
Lancaster,Nebraska,286160,317272,10.87
Dane,Wisconsin,489200,542364,10.87
San Benito,California,55517,61537,10.84
Bryan,Oklahoma,42583,47192,10.82
Greene,Georgia,15979,17698,10.76
Jessamine,Kentucky,48685,53920,10.75
Volusia,Florida,494445,547538,10.74
Culpeper,Virginia,46839,51859,10.72
Grayson,Texas,121030,133991,10.71
Charlottesville city,Virginia,43463,48117,10.71
Madison,Kentucky,83469,92368,10.66
Ward,Texas,10593,11720,10.64
Clay,Missouri,222683,246365,10.63
Seminole,Florida,423057,467832,10.58
Madison,Mississippi,95538,105630,10.56
Houston,Georgia,140745,155469,10.46
Summit,Colorado,28077,31007,10.44
Clackamas,Oregon,376790,416075,10.43
Weber,Utah,232139,256359,10.43
Louisa,Virginia,33309,36778,10.41
Medina,Texas,46129,50921,10.39
Washoe,Nevada,421958,465735,10.37
Pennington,South Dakota,101238,111729,10.36
Hernando,Florida,172966,190865,10.35
Union,Ohio,52410,57835,10.35
St. Charles,Missouri,361798,399182,10.33
Davidson,Tennessee,627753,692587,10.33
West Baton Rouge Parish,Louisiana,23954,26427,10.32
Boone,Missouri,163194,180005,10.3
Harrisonburg city,Virginia,48991,54033,10.29
Boulder,Colorado,295774,326078,10.25
Spartanburg,South Carolina,284748,313888,10.23
White,Georgia,27199,29970,10.19
Boone,Kentucky,119379,131533,10.18
Warren,Iowa,46341,51056,10.17
Alameda,California,1513043,1666753,10.16
Miami-Dade,Florida,2507065,2761581,10.15
Tangipahoa Parish,Louisiana,121482,133777,10.12
Multnomah,Oregon,737291,811880,10.12
Brookings,South Dakota,31995,35232,10.12
Marshall,South Dakota,4642,5112,10.12
Polk,Texas,45447,50031,10.09
St. Tammany Parish,Louisiana,234537,258111,10.05
Harrison,Mississippi,187849,206650,10.01
Shelby,Alabama,196095,215707,10
Oldham,Kentucky,60435,66470,9.99
Monongalia,West Virginia,96758,106420,9.99
Ottawa,Michigan,264123,290494,9.98
Upton,Texas,3338,3671,9.98
Yavapai,Arizona,210983,231993,9.96
Oklahoma,Oklahoma,720787,792582,9.96
Alamance,North Carolina,151440,166436,9.9
Chesterfield,Virginia,317195,348556,9.89
Marion,Oregon,315951,346868,9.79
Marshall,Tennessee,30683,33683,9.78
Duval,Florida,865637,950181,9.77
Cobb,Georgia,689528,756865,9.77
Spencer,Kentucky,17121,18794,9.77
Watauga,North Carolina,50967,55945,9.77
Divide,North Dakota,2080,2283,9.76
Charles,Maryland,147156,161503,9.75
