"mu","phi","sigma"
0.01481344,0.59656037,0.006980177
0.01043756,0.586345282,0.006246782
0.007331782,0.77944409,0.005409345
0.002135272,0.986731992,0.006337819
0.01458122,0.366037122,0.006095474
0.01068241,0.91825104,0.007890262
0.01715741,0.091317536,0.005190817
0.01271873,0.723224275,0.006611478
0.01644406,0.606173651,0.008089729
0.01813317,0.217569892,0.008175238
0.01926787,0.604384647,0.005805034
0.007466442,0.854191354,0.009868875
0.008722095,0.921399497,0.006101922
0.01214275,0.705044633,0.006897714
0.005236442,0.704630589,0.006055956
9.569415e-05,0.780971121,0.007487348
0.006181234,0.813363958,0.007974821
0.01384472,0.378452219,0.005211252
0.01225395,0.975827476,0.012058751
0.005544975,0.820402464,0.00638155
0.01519733,0.616997019,0.005225405
0.004516313,0.681564572,0.009033008
0.008104144,0.800588505,0.00539855
0.01636852,0.367828855,0.00576236
0.01353019,0.242006416,0.005213752
0.0146827,0.224814318,0.005493145
0.01844619,0.209492184,0.00604798
0.01473384,0.437323082,0.004224687
0.01203017,0.489185188,0.006917562
0.01543225,0.472632366,0.005204967
0.01315942,0.434028383,0.005642085
0.01149801,0.759454988,0.00817133
0.0156693,0.468675007,0.005173692
0.01607766,0.502191374,0.004811411
0.01465024,0.048332458,0.007537619
0.01422703,0.283975057,0.006544382
0.02343799,0.535642801,0.006203534
0.01406563,0.7198834,0.008819733
0.01704819,0.440718977,0.006348553
9.920271e-05,0.984793358,0.00539729
0.02077037,0.583443221,0.007213579
0.01839442,0.061281494,0.006118581
0.02310096,0.821144767,0.005362866
0.009591538,0.466446504,0.006238339
0.01509235,0.971736125,0.007317586
0.01817309,0.299378371,0.007250737
0.01258781,0.690115265,0.007130621
0.01035074,0.526260125,0.006374889
0.02059638,0.305941949,0.005668304
0.00715981,0.988976242,0.008617871
0.009393915,0.771062957,0.007074634
0.01937493,0.753155443,0.006346187
0.01280802,0.596759803,0.005471482
0.01815664,0.680381514,0.004775588
0.005265487,0.945127489,0.006041846
0.01065105,0.787549529,0.009824402
0.008469845,0.601989063,0.006494599
0.01632244,0.014227367,0.005507735
0.01512716,0.296685691,0.005714141
0.01869566,0.692297448,0.006049384
0.001590001,0.917202399,0.007255509
0.007339263,0.926246915,0.007658897
0.001639578,0.866436591,0.006972654
0.01802145,0.534274679,0.007165199
0.01413641,0.638912821,0.012680619
0.009123451,0.902228223,0.006681158
0.01511563,0.522314173,0.005034408
0.01098141,0.682560245,0.006718678
0.0009267301,0.9213143,0.007361326
0.02057915,0.240384741,0.005787607
